,Somamer,SeqId,SeqIdVersion,SomaId,TargetFullName,Target,UniProt,EntrezGeneID,EntrezGeneSymbol,Organism_x,Units,Type,Dilution,Symbol,Symbol_unique,EstimatedCV,EstimatedCV_low,PlasmaScaleFactor_v4_to_v4.1,PlasmaLinsCCC,PlasmaLinsCCC_low
2129,HAO1.17768.50,17768-50,3,SL020969,Hydroxyacid oxidase 1,HAOX1,Q9UJM8,54363,HAO1,Human,RFU,Protein,20,HAO1,HAO1,4.5,1,0.796,0.952,0
2130,PCNP.17769.28,17769-28,3,SL013223,PEST proteolytic signal-containing nuclear protein,PCNP,Q8WW12,57092,PCNP,Human,RFU,Protein,20,PCNP,PCNP,6,1,0.91,0.912,0
2131,EMC8.17770.42,17770-42,3,SL020938,ER membrane protein complex subunit 8,EMC8,O43402,10328,EMC8,Human,RFU,Protein,20,EMC8,EMC8,4.5,1,0.876,0.965,0
2132,CRCP.17771.35,17771-35,3,SL020977,DNA-directed RNA polymerase III subunit RPC9,RPC9,O75575,27297,CRCP,Human,RFU,Protein,20,CRCP,CRCP,12.5,1,0.828,0.58,0
2133,UBD.17772.7,17772-7,3,SL014594,Ubiquitin D,UBD,O15205,10537,UBD,Human,RFU,Protein,20,UBD,UBD,6,1,0.962,0.588,0
2134,NAPG.17773.26,17773-26,3,SL013253,Gamma-soluble NSF attachment protein,SNAG,Q99747,8774,NAPG,Human,RFU,Protein,20,NAPG,NAPG,4.5,1,1.409,0.906,0
2135,SNRPD3.17774.38,17774-38,3,SL013063,Small nuclear ribonucleoprotein Sm D3,SMD3,P62318,6634,SNRPD3,Human,RFU,Protein,20,SNRPD3,SNRPD3,4.5,1,0.995,0.826,0
2136,TAGLN3.17775.8,17775-8,3,SL011308,Transgelin-3,TAGL3,Q9UI15,29114,TAGLN3,Human,RFU,Protein,20,TAGLN3,TAGLN3,7,1,0.926,0.899,0
2137,PECR.17776.15,17776-15,3,SL020962,Peroxisomal trans-2-enoyl-CoA reductase,PECR,Q9BY49,55825,PECR,Human,RFU,Protein,20,PECR,PECR,4.5,1,0.864,0.75,0
2138,SDSL.17777.31,17777-31,3,SL020957,Serine dehydratase-like,SDSL,Q96GA7,113675,SDSL,Human,RFU,Protein,20,SDSL,SDSL,2.5,1,0.894,0.909,0
2139,RAB32.17778.19,17778-19,3,SL016450,Ras-related protein Rab-32,RAB32,Q13637,10981,RAB32,Human,RFU,Protein,20,RAB32,RAB32,8,1,0.878,0.913,0
2140,MAP1LC3A.17781.191,17781-191,3,SL020985,Microtubule-associated proteins 1A/1B light chain 3A,MLP3A,Q9H492,84557,MAP1LC3A,Human,RFU,Protein,20,MAP1LC3A,MAP1LC3A,7,1,0.707,0.88,0
2141,ACAA1.17782.23,17782-23,3,SL020988,"3-ketoacyl-CoA thiolase, peroxisomal",THIK,P09110,30,ACAA1,Human,RFU,Protein,20,ACAA1,ACAA1,5,1,0.897,0.897,0
2142,MMAB.17783.9,17783-9,3,SL020955,"Cob(I)yrinic acid a,c-diamide adenosyltransferase, mitochondrial",MMAB,Q96EY8,326625,MMAB,Human,RFU,Protein,20,MMAB,MMAB,3.5,1,0.816,0.895,0
2143,GMFB.17784.23,17784-23,3,SL013389,Glia maturation factor beta,GMFB,P60983,2764,GMFB,Human,RFU,Protein,20,GMFB,GMFB,5,1,1.014,0.887,0
2144,DNPH1.17785.11,17785-11,3,SL008449,2'-deoxynucleoside 5'-phosphate N-hydrolase 1,RCL,O43598,10591,DNPH1,Human,RFU,Protein,20,DNPH1,DNPH1,3.5,1,0.86,0.775,0
2145,GGPS1.17786.5,17786-5,3,SL020915,Geranylgeranyl pyrophosphate synthase,GGPPS,O95749,9453,GGPS1,Human,RFU,Protein,20,GGPS1,GGPS1,4,1,0.821,0.843,0
2146,ECHS1.17787.1,17787-1,3,SL005677,"Enoyl-CoA hydratase, mitochondrial",Enoyl-CoA hydratase,P30084,1892,ECHS1,Human,RFU,Protein,20,ECHS1,ECHS1,19.5,0,1.057,0.698,0
2147,QPRT.17789.1,17789-1,3,SL008944,Nicotinate-nucleotide pyrophosphorylase [carboxylating],NADC,Q15274,23475,QPRT,Human,RFU,Protein,20,QPRT,QPRT,5.5,1,0.834,0.883,0
2148,HPCAL1.17791.25,17791-25,3,SL011188,Hippocalcin-like protein 1,HPCL1,P37235,3241,HPCAL1,Human,RFU,Protein,20,HPCAL1,HPCAL1.1,4,1,0.5,0.63,0
