,Somamer,SeqId,SeqIdVersion,SomaId,TargetFullName,Target,UniProt,EntrezGeneID,EntrezGeneSymbol,Organism_x,Units,Type,Dilution,Symbol,Symbol_unique,EstimatedCV,EstimatedCV_low,PlasmaScaleFactor_v4_to_v4.1,PlasmaLinsCCC,PlasmaLinsCCC_low
0,CRYBB2.10000.28,10000-28,3,SL019233,Beta-crystallin B2,CRBB2,P43320,1415,CRYBB2,Human,RFU,Protein,20,CRYBB2,CRYBB2,3.5,1,1.053,0.963,0
1,RAF1.10001.7,10001-7,3,SL002564,RAF proto-oncogene serine/threonine-protein kinase,c-Raf,P04049,5894,RAF1,Human,RFU,Protein,20,RAF1,RAF1,4,1,1.3,0.875,0
2,ZNF41.10003.15,10003-15,3,SL019245,Zinc finger protein 41,ZNF41,P51814,7592,ZNF41,Human,RFU,Protein,0.5,ZNF41,ZNF41,6.5,1,1.507,0.668,0
3,ELK1.10006.25,10006-25,3,SL019228,ETS domain-containing protein Elk-1,ELK1,P19419,2002,ELK1,Human,RFU,Protein,20,ELK1,ELK1,3.5,1,0.826,0.877,0
4,GUCA1A.10008.43,10008-43,3,SL019234,Guanylyl cyclase-activating protein 1,GUC1A,P43080,2978,GUCA1A,Human,RFU,Protein,20,GUCA1A,GUCA1A,2.5,1,0.902,0.908,0
5,BECN1.10010.10,10010-10,3,SL014943,Beclin-1,BECN1,Q14457,8678,BECN1,Human,RFU,Protein,20,BECN1,BECN1.1,3.5,1,,,0
6,OCRL.10011.65,10011-65,3,SL019246,Inositol polyphosphate 5-phosphatase OCRL-1,OCRL,Q01968,4952,OCRL,Human,RFU,Protein,20,OCRL,OCRL,3.5,1,1.073,0.743,0
7,SPDEF.10012.5,10012-5,3,SL014669,SAM pointed domain-containing Ets transcription factor,SPDEF,O95238,25803,SPDEF,Human,RFU,Protein,20,SPDEF,SPDEF,7.5,1,0.868,0.591,0
8,SNAI2.10014.31,10014-31,3,SL007803,Zinc finger protein SNAI2,SLUG,O43623,6591,SNAI2,Human,RFU,Protein,20,SNAI2,SNAI2,2.5,1,0.93,0.941,0
9,KCNAB2.10015.119,10015-119,3,SL014924,Voltage-gated potassium channel subunit beta-2,KCAB2,Q13303,8514,KCNAB2,Human,RFU,Protein,20,KCNAB2,KCNAB2,2.5,1,0.826,0.737,0
10,POLH.10022.207,10022-207,3,SL019229,DNA polymerase eta,POLH,Q9Y253,5429,POLH,Human,RFU,Protein,20,POLH,POLH,4,1,1.028,0.954,0
11,VDR.10023.32,10023-32,3,SL004071,Vitamin D3 receptor,VDR,P11473,7421,VDR,Human,RFU,Protein,20,VDR,VDR,7,1,1.162,0.481,0
12,HOGA1.10024.44,10024-44,3,SL019235,"4-hydroxy-2-oxoglutarate aldolase, mitochondrial",HOGA1,Q86XE5,112817,HOGA1,Human,RFU,Protein,20,HOGA1,HOGA1,3.5,1,0.757,0.932,0
13,DLD.10025.1,10025-1,3,SL008018,"Dihydrolipoyl dehydrogenase, mitochondrial",DLDH,P09622,1738,DLD,Human,RFU,Protein,0.5,DLD,DLD.1,3,1,,,0
14,MUTYH.10030.8,10030-8,3,SL006373,Adenine DNA glycosylase,MutY homolog,Q9UIF7,4595,MUTYH,Human,RFU,Protein,20,MUTYH,MUTYH,4.5,1,0.881,0.913,0
15,DUSP4.10035.6,10035-6,3,SL007389,Dual specificity protein phosphatase 4,DUS4,Q13115,1846,DUSP4,Human,RFU,Protein,20,DUSP4,DUSP4,2.5,1,0.911,0.889,0
16,ZHX3.10036.201,10036-201,3,SL019252,Zinc fingers and homeoboxes protein 3,ZHX3,Q9H4I2,23051,ZHX3,Human,RFU,Protein,0.5,ZHX3,ZHX3,6.5,1,0.735,0.671,0
17,SIGLEC12.10037.98,10037-98,3,SL025986,"Sialic acid-binding Ig-like lectin 12:Ig-like V-type 2 domain, Isoform long",SIG12:Ig-like V-type 2,Q96PQ1,89858,SIGLEC12,Human,RFU,Protein,20,SIGLEC12,SIGLEC12.1,4,1,1.256,0.914,0
18,PNP.10039.32,10039-32,3,SL005262,Purine nucleoside phosphorylase,PNP,P00491,4860,PNP,Human,RFU,Protein,0.5,PNP,PNP.1,3.5,1,,,0
19,TP63.10040.63,10040-63,3,SL007662,Tumor protein 63,P73L,Q9H3D4,8626,TP63,Human,RFU,Protein,20,TP63,TP63,5.5,1,1.071,0.947,0
20,HNF4A.10041.3,10041-3,3,SL007226,Hepatocyte nuclear factor 4-alpha,HNF4A,P41235,3172,HNF4A,Human,RFU,Protein,0.5,HNF4A,HNF4A,5.5,1,0.601,0.803,0
21,SGK3.10042.8,10042-8,3,SL015131,Serine/threonine-protein kinase Sgk3,SGK3,Q96BR1,100533105,SGK3,Human,RFU,Protein,20,SGK3,SGK3,5.5,1,0.91,0.811,0
22,BRD4.10043.31,10043-31,3,SL019249,Bromodomain-containing protein 4,BRD4,O60885,23476,BRD4,Human,RFU,Protein,20,BRD4,BRD4,3,1,1.004,0.744,0
23,WNT10A.10044.12,10044-12,3,SL012823,Protein Wnt-10a,WN10A,Q9GZT5,80326,WNT10A,Human,RFU,Protein,20,WNT10A,WNT10A,29,0,1.009,0.195,1
24,CUL3.10045.47,10045-47,3,SL010989,Cullin-3,CUL3,Q13618,8452,CUL3,Human,RFU,Protein,20,CUL3,CUL3,3.5,1,0.964,0.902,0
25,BIRC2.10046.55,10046-55,3,SL003727,Baculoviral IAP repeat-containing protein 2,cIAP-1,Q13490,329,BIRC2,Human,RFU,Protein,20,BIRC2,BIRC2.1,4.5,1,0.805,0.864,0
26,NCF2.10047.12,10047-12,3,SL004553,Neutrophil cytosol factor 2,NCF-2,P19878,4688,NCF2,Human,RFU,Protein,0.5,NCF2,NCF2,9,1,0.946,0.575,0
27,CBFB.10048.7,10048-7,3,SL011998,Core-binding factor subunit beta,PEBB,Q13951,865,CBFB,Human,RFU,Protein,20,CBFB,CBFB,2.5,1,0.822,0.863,0
28,TERF1.10049.112,10049-112,3,SL019242,Telomeric repeat-binding factor 1,TERF1,P54274,7013,TERF1,Human,RFU,Protein,20,TERF1,TERF1,2.5,1,0.95,0.865,0
29,ILK.10053.5,10053-5,3,SL004474,Integrin-linked protein kinase,ILK1,Q13418,3611,ILK,Human,RFU,Protein,20,ILK,ILK,9.5,1,1.042,0.907,0
30,GAN.10054.3,10054-3,3,SL019232,Gigaxonin,GAN,Q9H2C0,8139,GAN,Human,RFU,Protein,20,GAN,GAN,4,1,1.003,0.943,0
31,FOXM1.10056.5,10056-5,3,SL007372,Forkhead box protein M1,FOXM1,Q08050,2305,FOXM1,Human,RFU,Protein,20,FOXM1,FOXM1,3.5,1,0.331,0.88,0
32,RAD23A.10058.1,10058-1,3,SL013796,UV excision repair protein RAD23 homolog A,RD23A,P54725,5886,RAD23A,Human,RFU,Protein,20,RAD23A,RAD23A,6,1,0.753,0.88,0
33,FANCL.10063.10,10063-10,3,SL019237,E3 ubiquitin-protein ligase FANCL,FANCL,Q9NW38,55120,FANCL,Human,RFU,Protein,20,FANCL,FANCL,3,1,0.774,0.872,0
34,RBBP9.10064.12,10064-12,3,SL011550,Putative hydrolase RBBP9,RBBP9,O75884,10741,RBBP9,Human,RFU,Protein,0.5,RBBP9,RBBP9,2,1,0.881,0.494,0
35,PIN1.10069.2,10069-2,3,SL013908,Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1,PIN1,Q13526,5300,PIN1,Human,RFU,Protein,20,PIN1,PIN1.1,3,1,,,0
36,PLCG2.10070.22,10070-22,3,SL016406,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2",PLCG2,P16885,5336,PLCG2,Human,RFU,Protein,20,PLCG2,PLCG2,4.5,1,0.769,0.902,0
37,TDP1.10073.22,10073-22,3,SL011411,Tyrosyl-DNA phosphodiesterase 1,TYDP1,Q9NUW8,55775,TDP1,Human,RFU,Protein,20,TDP1,TDP1,3.5,1,1.264,0.86,0
38,BRD2.10074.128,10074-128,3,SL014748,Bromodomain-containing protein 2,BRD2,P25440,6046,BRD2,Human,RFU,Protein,20,BRD2,BRD2.1,2.5,1,1.098,0.866,0
39,ACBD6.10075.75,10075-75,3,SL019254,Acyl-CoA-binding domain-containing protein 6,ACBD6,Q9BR61,84320,ACBD6,Human,RFU,Protein,20,ACBD6,ACBD6.1,6.5,1,1.241,0.917,0
40,AP4M1.10076.1,10076-1,3,SL019225,AP-4 complex subunit mu-1,AP4M1,O00189,9179,AP4M1,Human,RFU,Protein,20,AP4M1,AP4M1,3,1,0.929,0.864,0
41,BAG3.10078.5,10078-5,3,SL007063,BAG family molecular chaperone regulator 3,BAG3,O95817,9531,BAG3,Human,RFU,Protein,20,BAG3,BAG3,3.5,1,1.029,0.734,0
42,EIF2B1.10080.9,10080-9,3,SL019240,Translation initiation factor eIF-2B subunit alpha,EI2BA,Q14232,1967,EIF2B1,Human,RFU,Protein,20,EIF2B1,EIF2B1,8,1,0.41,0.896,0
43,SATB2.10081.17,10081-17,3,SL019243,DNA-binding protein SATB2,SATB2,Q9UPW6,23314,SATB2,Human,RFU,Protein,20,SATB2,SATB2,9,1,1.033,0.569,0
44,NEFL.10082.251,10082-251,3,SL019251,Neurofilament light polypeptide,NFL,P07196,4747,NEFL,Human,RFU,Protein,0.5,NEFL,NEFL,6,1,0.637,0.844,0
45,STAR.10085.25,10085-25,3,SL001714,"Steroidogenic acute regulatory protein, mitochondrial",STAR,P49675,6770,STAR,Human,RFU,Protein,0.5,STAR,STAR,3,1,0.782,0.688,0
46,CBS.10086.39,10086-39,3,SL018882,Cystathionine beta-synthase,CBS,P35520,102724560,CBS,Human,RFU,Protein,20,CBS,CBS,4,1,0.845,0.919,0
47,CRYAA.10087.10,10087-10,3,SL003675,Alpha-crystallin A chain,Alpha crystallin A chain,P02489,102724652,CRYAA,Human,RFU,Protein,20,CRYAA,CRYAA,3.5,1,0.874,0.925,0
48,APRT.10088.37,10088-37,3,SL008014,Adenine phosphoribosyltransferase,APT,P07741,353,APRT,Human,RFU,Protein,20,APRT,APRT,6,1,0.657,0.933,0
49,ASMTL.10089.7,10089-7,3,SL019244,N-acetylserotonin O-methyltransferase-like protein,ASML,O95671,8623,ASMTL,Human,RFU,Protein,20,ASMTL,ASMTL,4.5,1,0.876,0.923,0
50,STUB1.10336.3,10336-3,3,SL019100,E3 ubiquitin-protein ligase CHIP,CHIP,Q9UNE7,10273,STUB1,Human,RFU,Protein,20,STUB1,STUB1.1,7,1,1.19,0.876,0
51,ENO2.10339.48,10339-48,3,SL001731,Gamma-enolase,NSE,P09104,2026,ENO2,Human,RFU,Protein,20,ENO2,ENO2.1,7,1,0.623,0.781,0
52,PIAS4.10342.55,10342-55,3,SL019096,E3 SUMO-protein ligase PIAS4,PIAS4,Q8N2W9,51588,PIAS4,Human,RFU,Protein,20,PIAS4,PIAS4,12,1,1.014,0.472,0
53,IL10RA.10344.334,10344-334,3,SL005173,Interleukin-10 receptor subunit alpha,IL-10 Ra,Q13651,3587,IL10RA,Human,RFU,Protein,20,IL10RA,IL10RA.1,7.5,1,0.946,0.604,0
54,STAT3.10346.5,10346-5,3,SL007221,Signal transducer and activator of transcription 3,STAT3,P40763,6774,STAT3,Human,RFU,Protein,20,STAT3,STAT3.1,7,1,0.84,0.915,0
55,IRF1.10351.51,10351-51,3,SL007108,Interferon regulatory factor 1,IRF1,P10914,3659,IRF1,Human,RFU,Protein,20,IRF1,IRF1.1,4.5,1,,,0
56,STAT3.10354.57,10354-57,3,SL007221,Signal transducer and activator of transcription 3,STAT3,P40763,6774,STAT3,Human,RFU,Protein,20,STAT3,STAT3.2,4,1,,,0
57,JUN.10356.21,10356-21,3,SL000455,Transcription factor AP-1,c-Jun,P05412,3725,JUN,Human,RFU,Protein,20,JUN,JUN,8.5,1,0.779,0.604,0
58,OAS1.10361.25,10361-25,3,SL014684,2'-5'-oligoadenylate synthase 1,OAS1,P00973,4938,OAS1,Human,RFU,Protein,20,OAS1,OAS1,4,1,1.106,0.922,0
59,MYC.10362.35,10362-35,3,SL002565,Myc proto-oncogene protein,c-Myc,P01106,4609,MYC,Human,RFU,Protein,20,MYC,MYC,3,1,0.894,0.936,0
60,SMAD3.10363.13,10363-13,3,SL004097,Mothers against decapentaplegic homolog 3,SMAD3,P84022,4088,SMAD3,Human,RFU,Protein,20,SMAD3,SMAD3,5,1,0.852,0.908,0
61,SMAD2.10364.6,10364-6,3,SL004101,Mothers against decapentaplegic homolog 2,SMAD2,Q15796,4087,SMAD2,Human,RFU,Protein,20,SMAD2,SMAD2.1,4.5,1,0.782,0.926,0
62,IL12B.IL23A.10365.132,10365-132,3,SL005184,Interleukin-23,IL-23,P29460|Q9NPF7,3593|51561,IL12B|IL23A,Human,RFU,Protein,20,IL12B|IL23A,IL12B|IL23A,3,1,0.825,0.951,0
63,PDGFRA.10366.11,10366-11,3,SL001728,Platelet-derived growth factor receptor alpha,PDGFRA,P16234,5156,PDGFRA,Human,RFU,Protein,20,PDGFRA,PDGFRA,3.5,1,0.767,0.939,0
64,IL12A.IL12B.10367.62,10367-62,3,SL001716,Interleukin-12,IL-12,P29459|P29460,3592|3593,IL12A|IL12B,Human,RFU,Protein,20,IL12A|IL12B,IL12A|IL12B,3.5,1,0.919,0.935,0
65,STAT1.10370.21,10370-21,3,SL004396,Signal transducer and activator of transcription 1-alpha/beta,STAT1,P42224,6772,STAT1,Human,RFU,Protein,20,STAT1,STAT1.1,5.5,1,0.292,0.909,0
66,STAT6.10372.18,10372-18,3,SL007229,Signal transducer and activator of transcription 6,STAT6,P42226,6778,STAT6,Human,RFU,Protein,20,STAT6,STAT6,5,1,0.936,0.918,0
67,ANGPTL3.10382.1,10382-1,3,SL006803,Angiopoietin-related protein 3,ANGL3,Q9Y5C1,27329,ANGPTL3,Human,RFU,Protein,0.5,ANGPTL3,ANGPTL3.1,7.5,1,,,0
68,ZNRF3.10390.21,10390-21,3,SL018971,E3 ubiquitin-protein ligase ZNRF3,ZNRF3,Q9ULT6,84133,ZNRF3,Human,RFU,Protein,20,ZNRF3,ZNRF3.1,6.5,1,0.67,0.819,0
69,ANGPTL3.10391.1,10391-1,3,SL006803,Angiopoietin-related protein 3,ANGL3,Q9Y5C1,27329,ANGPTL3,Human,RFU,Protein,0.005,ANGPTL3,ANGPTL3.2,6.5,1,1.708,0.698,0
70,MCL1.10396.6,10396-6,3,SL003755,Induced myeloid leukemia cell differentiation protein Mcl-1,Mcl-1,Q07820,4170,MCL1,Human,RFU,Protein,20,MCL1,MCL1.1,6.5,1,0.726,0.915,0
71,ANKRD1.10398.110,10398-110,3,SL019275,Ankyrin repeat domain-containing protein 1,ANKR1,Q15327,27063,ANKRD1,Human,RFU,Protein,20,ANKRD1,ANKRD1.1,3,1,,,0
72,STX12.10418.36,10418-36,3,SL011111,Syntaxin-12,STX12,Q86Y82,23673,STX12,Human,RFU,Protein,20,STX12,STX12,4.5,1,0.917,0.854,0
73,SCARA5.10419.1,10419-1,3,SL014110,Scavenger receptor class A member 5,SCAR5,Q6ZMJ2,286133,SCARA5,Human,RFU,Protein,20,SCARA5,SCARA5,5,1,0.787,0.885,0
74,FAIM.10420.30,10420-30,3,SL018037,Fas apoptotic inhibitory molecule 1,FAIM1,Q9NVQ4,55179,FAIM,Human,RFU,Protein,20,FAIM,FAIM.1,18.5,0,,,0
75,NPDC1.10424.31,10424-31,3,SL015264,Neural proliferation differentiation and control protein 1,NPDC1,Q9NQX5,56654,NPDC1,Human,RFU,Protein,20,NPDC1,NPDC1,4.5,1,0.868,0.798,0
76,B4GALT5.10425.3,10425-3,3,SL017972,"Beta-1,4-galactosyltransferase 5",B4GT5,O43286,9334,B4GALT5,Human,RFU,Protein,20,B4GALT5,B4GALT5,3,1,1.37,0.769,0
77,GOSR2.10426.21,10426-21,3,SL018004,Golgi SNAP receptor complex member 2,GOSR2,O14653,9570,GOSR2,Human,RFU,Protein,20,GOSR2,GOSR2,44,0,1.163,0.229,1
78,KIR2DS2.10428.1,10428-1,3,SL018045,Killer cell immunoglobulin-like receptor 2DS2,KI2S2,P43631,100132285,KIR2DS2,Human,RFU,Protein,20,KIR2DS2,KIR2DS2,8.5,1,0.654,0.931,0
79,SLC3A2.10430.31,10430-31,3,SL025780,4F2 cell-surface antigen heavy chain:Cytoplasmic domain,4F2:CD,P08195,6520,SLC3A2,Human,RFU,Protein,20,SLC3A2,SLC3A2.1,9.5,1,0.943,0.712,0
80,SHISAL1.10432.3,10432-3,3,SL018002,Uncharacterized protein KIAA1644,K1644,Q3SXP7,85352,SHISAL1,Human,RFU,Protein,20,SHISAL1,SHISAL1,4.5,1,0.962,0.844,0
81,AGA.10435.2,10435-2,3,SL008645,N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase,ASPG,P20933,175,AGA,Human,RFU,Protein,20,AGA,AGA,4,1,0.943,0.904,0
82,CSF2RA.10438.19,10438-19,3,SL007128,Granulocyte-macrophage colony-stimulating factor receptor subunit alpha,CSF2R,P15509,1438,CSF2RA,Human,RFU,Protein,0.5,CSF2RA,CSF2RA,3,1,0.789,0.866,0
83,AMY2B.10439.57,10439-57,3,SL005393,Alpha-amylase 2B,Alpha-amylase 2B,P19961,280,AMY2B,Human,RFU,Protein,20,AMY2B,AMY2B.1,5,1,,,0
84,CLMP.10440.26,10440-26,3,SL025782,CXADR-like membrane protein:Extracellular domain,ACAM:ECD,Q9H6B4,79827,CLMP,Human,RFU,Protein,20,CLMP,CLMP.1,2.5,1,0.804,0.942,0
85,TMEM190.10442.1,10442-1,3,SL018089,Transmembrane protein 190,TM190,Q8WZ59,147744,TMEM190,Human,RFU,Protein,20,TMEM190,TMEM190,5,1,1.076,0.947,0
86,APOM.10445.20,10445-20,3,SL004747,Apolipoprotein M,ApoM,O95445,55937,APOM,Human,RFU,Protein,0.005,APOM,APOM.1,7.5,1,0.802,0.572,0
87,PABPC3.10447.18,10447-18,3,SL018138,Polyadenylate-binding protein 3,PABP3,Q9H361,5042,PABPC3,Human,RFU,Protein,20,PABPC3,PABPC3,3,1,0.644,0.889,0
88,SHISA2.10449.31,10449-31,3,SL008887,Protein shisa-2 homolog,TMM46,Q6UWI4,387914,SHISA2,Human,RFU,Protein,20,SHISA2,SHISA2,12,1,1.157,0.608,0
89,NUCB1.10451.11,10451-11,3,SL008914,Nucleobindin-1,NUCB1,Q02818,4924,NUCB1,Human,RFU,Protein,0.5,NUCB1,NUCB1,6.5,1,0.788,0.269,1
90,CEACAM20.10453.7,10453-7,3,SL018233,Carcinoembryonic antigen-related cell adhesion molecule 20,CEA20,Q6UY09,125931,CEACAM20,Human,RFU,Protein,20,CEACAM20,CEACAM20,5,1,0.921,0.94,0
91,DNAJC16.10454.99,10454-99,3,SL018290,DnaJ homolog subfamily C member 16,DJC16,Q9Y2G8,23341,DNAJC16,Human,RFU,Protein,20,DNAJC16,DNAJC16,7,1,0.704,0.888,0
92,IL31.10455.196,10455-196,3,SL004678,Interleukin-31,IL-31,Q6EBC2,386653,IL31,Human,RFU,Protein,20,IL31,IL31,3.5,1,1.205,0.959,0
93,IL18RAP.10457.3,10457-3,3,SL004861,Interleukin-18 receptor accessory protein,IL-18 Rb,O95256,8807,IL18RAP,Human,RFU,Protein,20,IL18RAP,IL18RAP.1,3.5,1,,,0
94,CHIT1.10460.1,10460-1,3,SL006029,Chitotriosidase-1,Chitotriosidase-1,Q13231,1118,CHIT1,Human,RFU,Protein,20,CHIT1,CHIT1.1,15.5,0,,,0
95,INSL5.10462.14,10462-14,3,SL012880,Insulin-like peptide INSL5,INSL5,Q9Y5Q6,10022,INSL5,Human,RFU,Protein,20,INSL5,INSL5,4,1,1.01,0.926,0
96,ALPI.10463.23,10463-23,3,SL002514,Intestinal-type alkaline phosphatase,"Alkaline phosphatase, intestine",P09923,248,ALPI,Human,RFU,Protein,20,ALPI,ALPI.1,3,1,,,0
97,ANTXR1.10464.6,10464-6,3,SL008696,Anthrax toxin receptor 1,ANTR1,Q9H6X2,84168,ANTXR1,Human,RFU,Protein,20,ANTXR1,ANTXR1,3,1,0.956,0.91,0
98,TXNDC11.10470.34,10470-34,3,SL026024,Thioredoxin domain-containing protein 11:C-term,TXD11:N-term,Q6PKC3,51061,TXNDC11,Human,RFU,Protein,20,TXNDC11,TXNDC11.1,55,0,,,0
99,TNFRSF14.10472.53,10472-53,3,SL004145,Tumor necrosis factor receptor superfamily member 14,HVEM,Q92956,8764,TNFRSF14,Human,RFU,Protein,20,TNFRSF14,TNFRSF14.1,12,1,,,0
100,TFF2.10473.2,10473-2,3,SL002602,Trefoil factor 2,Trefoil factor 2,Q03403,7032,TFF2,Human,RFU,Protein,20,TFF2,TFF2.1,4,1,,,0
101,MMP10.10479.18,10479-18,3,SL000645,Stromelysin-2,MMP-10,P09238,4319,MMP10,Human,RFU,Protein,20,MMP10,MMP10.1,4,1,,,0
102,CD59.10480.33,10480-33,3,SL004557,CD59 glycoprotein,CD59,P13987,966,CD59,Human,RFU,Protein,20,CD59,CD59.1,3.5,1,,,0
103,MAGEA4.10485.56,10485-56,3,SL005064,Melanoma-associated antigen 4,MAGE-4,P43358,4103,MAGEA4,Human,RFU,Protein,20,MAGEA4,MAGEA4.1,85,0,2.095,0.097,1
104,RPN1.10490.3,10490-3,3,SL025976,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1:Cytoplasmic domain,RPN1:CD,P04843,6184,RPN1,Human,RFU,Protein,20,RPN1,RPN1.1,4.5,1,0.862,0.888,0
105,CLCA1.10496.11,10496-11,3,SL009322,Calcium-activated chloride channel regulator 1,CaCC,A8K7I4,1179,CLCA1,Human,RFU,Protein,20,CLCA1,CLCA1,4,1,0.934,0.951,0
106,TMEM106A.10499.1,10499-1,3,SL008733,Transmembrane protein 106A,T106A,Q96A25,113277,TMEM106A,Human,RFU,Protein,20,TMEM106A,TMEM106A,4.5,1,0.798,0.892,0
107,RNF43.10505.12,10505-12,3,SL018629,E3 ubiquitin-protein ligase RNF43,RNF43,Q68DV7,54894,RNF43,Human,RFU,Protein,20,RNF43,RNF43.1,3,1,,,0
108,PGRMC2.10506.53,10506-53,3,SL007962,Membrane-associated progesterone receptor component 2,PGRC2,O15173,10424,PGRMC2,Human,RFU,Protein,20,PGRMC2,PGRMC2.1,3,1,0.851,0.906,0
109,ACRV1.10507.166,10507-166,3,SL009308,Acrosomal protein SP-10,sperm protein 10,P26436,56,ACRV1,Human,RFU,Protein,20,ACRV1,ACRV1.1,4,1,0.992,0.965,0
110,SCIMP.10510.62,10510-62,3,SL018612,SLP adapter and CSK-interacting membrane protein,SCIMP,Q6UWF3,388325,SCIMP,Human,RFU,Protein,20,SCIMP,SCIMP,3.5,1,1.158,0.885,0
111,COL6A3.10511.10,10511-10,3,SL025821,Collagen alpha-3(VI) chain:isoform 3,Collagen alpha-3(VI):isoform 3,P12111,1293,COL6A3,Human,RFU,Protein,0.5,COL6A3,COL6A3.1,150,0,3.512,0.049,1
112,CSF2RB.10512.13,10512-13,3,SL025888,Cytokine receptor common subunit beta:Extracellular domain,IL3RB:ECD,P32927,1439,CSF2RB,Human,RFU,Protein,20,CSF2RB,CSF2RB.1,3.5,1,1.047,0.95,0
113,KCNIP3.10513.13,10513-13,3,SL018613,Calsenilin,CSEN,Q9Y2W7,30818,KCNIP3,Human,RFU,Protein,20,KCNIP3,KCNIP3,3.5,1,1.028,0.98,0
114,PTGDS.10514.5,10514-5,3,SL005360,Prostaglandin-H2 D-isomerase,PGD2 synthase,P41222,5730,PTGDS,Human,RFU,Protein,0.5,PTGDS,PTGDS,4,1,0.719,0.897,0
115,MXRA8.10521.10,10521-10,3,SL025939,Matrix-remodeling-associated protein 8:Extracellular domain,MXRA8:ECD,Q9BRK3,54587,MXRA8,Human,RFU,Protein,0.5,MXRA8,MXRA8.1,2.5,1,1.165,0.935,0
116,DHX9.10527.22,10527-22,3,SL013075,ATP-dependent RNA helicase A,DHX9,Q08211,1660,DHX9,Human,RFU,Protein,20,DHX9,DHX9,6.5,1,0.69,0.758,0
117,DPEP1.10528.2,10528-2,3,SL008734,Dipeptidase 1,DPEP1,P16444,1800,DPEP1,Human,RFU,Protein,20,DPEP1,DPEP1.1,3,1,,,0
118,PSMB6.10530.8,10530-8,3,SL016414,Proteasome subunit beta type-6,PSB6,P28072,5694,PSMB6,Human,RFU,Protein,20,PSMB6,PSMB6,3.5,1,1.062,0.862,0
119,NRAS.10531.18,10531-18,3,SL010845,GTPase NRas,RASN,P01111,4893,NRAS,Human,RFU,Protein,20,NRAS,NRAS,4.5,1,0.7,0.744,0
120,PARP1.10534.40,10534-40,3,SL025953,Poly [ADP-ribose] polymerase 1:BRCA1 C-terminal:BRCA1 C-terminus domian,PARP:BRCT domain,P09874,142,PARP1,Human,RFU,Protein,20,PARP1,PARP1.1,3.5,1,1.394,0.595,0
121,COX6A2.10535.25,10535-25,3,SL018731,"Cytochrome c oxidase subunit 6A2, mitochondrial",CX6A2,Q02221,1339,COX6A2,Human,RFU,Protein,20,COX6A2,COX6A2,11.5,1,1.106,0.888,0
122,CD99L2.10539.30,10539-30,3,SL014293,CD99 antigen-like protein 2,C99L2,Q8TCZ2,83692,CD99L2,Human,RFU,Protein,20,CD99L2,CD99L2,3.5,1,1.104,0.909,0
123,TSPEAR.10546.2,10546-2,3,SL012744,Thrombospondin-type laminin G domain and EAR repeat-containing protein,TSEAR,Q8WU66,54084,TSPEAR,Human,RFU,Protein,20,TSPEAR,TSPEAR,10.5,1,1.004,0.652,0
124,BMPR1B.10550.37,10550-37,3,SL004132,Bone morphogenetic protein receptor type-1B,BMP RIB,O00238,658,BMPR1B,Human,RFU,Protein,20,BMPR1B,BMPR1B,5,1,0.926,0.82,0
125,LAT.10551.7,10551-7,3,SL007008,Linker for activation of T-cells family member 1,LAT,O43561,27040,LAT,Human,RFU,Protein,20,LAT,LAT,5,1,0.745,0.986,0
126,KLRC4.10552.88,10552-88,3,SL017983,NKG2-F type II integral membrane protein,NKG2F,O43908,8302,KLRC4,Human,RFU,Protein,20,KLRC4,KLRC4,4.5,1,1.1,0.933,0
127,TOR1AIP2.10553.8,10553-8,3,SL017988,Torsin-1A-interacting protein 2,TOIP2,Q8NFQ8,163590,TOR1AIP2,Human,RFU,Protein,20,TOR1AIP2,TOR1AIP2,4,1,0.876,0.856,0
128,GLB1.10554.23,10554-23,3,SL009072,Beta-galactosidase,BGAL,P16278,2720,GLB1,Human,RFU,Protein,20,GLB1,GLB1,44,0,1.523,0.237,1
129,TEX29.10557.6,10557-6,3,SL018003,Testis-expressed sequence 29 protein,TEX29,Q8N6K0,121793,TEX29,Human,RFU,Protein,0.5,TEX29,TEX29,3,1,0.406,0.743,0
130,PCDH9.10558.26,10558-26,3,SL008436,Protocadherin-9,PCDH9,Q9HC56,5101,PCDH9,Human,RFU,Protein,20,PCDH9,PCDH9,5.5,1,0.847,0.813,0
131,ITM2C.10560.1,10560-1,3,SL025895,Integral membrane protein 2C:N-term,ITM2C:N-term,Q9NQX7,81618,ITM2C,Human,RFU,Protein,20,ITM2C,ITM2C.1,9,1,1.44,0.862,0
132,PGLYRP3.10561.5,10561-5,3,SL004512,Peptidoglycan recognition protein 3,PGRP-I-alpha,Q96LB9,114771,PGLYRP3,Human,RFU,Protein,20,PGLYRP3,PGLYRP3,9.5,1,1.081,0.643,0
133,NETO2.10562.42,10562-42,3,SL015086,Neuropilin and tolloid-like protein 2,NETO2,Q8NC67,81831,NETO2,Human,RFU,Protein,20,NETO2,NETO2,6.5,1,0.896,0.901,0
134,LYSMD3.10563.13,10563-13,3,SL018021,LysM and putative peptidoglycan-binding domain-containing protein 3,LYSM3,Q7Z3D4,116068,LYSMD3,Human,RFU,Protein,20,LYSMD3,LYSMD3,3.5,1,1.134,0.853,0
